meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code,height,age_at_meet,capital_city
US Olympic Team Trials - Wave II,01:00.2,2021-06-13,Men 100 Breaststroke LCM Male,USA,United States of America,"EVDOKIMOV, Ilya",M,1996-02-28,,,133,134,842.0,Omaha,USA,-,25.3,"Washington, D.C."
European Championships 2021,01:00.2,2021-05-19,Men 100 Breaststroke LCM Male,NOR,Norway,"GRINDHEIM, Andre",M,2000-04-07,,,135,135,842.0,Budapest,HUN,-,21.1,Oslo
13th FINA World Championships 2009,01:00.2,2009-07-26,Men 100 Breaststroke LCM Male,CAN,Canada,"BOIS, Mathieu",M,1988-07-06,,,135,136,,Rome,ITA,-,21.1,Ottawa
Polish National Championships (50m),01:00.2,2016-05-30,Men 100 Breaststroke LCM Male,POL,Poland,"STOLARSKI, Marcin Tomasz",M,1996-01-04,,,137,137,888.0,Szczecin,POL,194,20.4,Warsaw
25th Summer Universiade 2009,01:00.2,2009-07-06,Men 100 Breaststroke LCM Male,NZL,New Zealand,"FERRIF, Nicholas L",M,1989-02-20,,,137,138,,Belgrade,SRB,-,20.4,Wellington
Phillips 66 International Team Trials 2022,01:00.3,2022-04-29,Men 100 Breaststroke LCM Male,USA,United States of America,"COPE, Thomas",M,1997-11-01,,,139,139,841.0,Greensboro,USA,-,24.5,"Washington, D.C."
Hancock Prospecting National Championships Australia (50m),01:00.3,2018-03-01,Men 100 Breaststroke LCM Male,AUS,Australia,"HUNTER, Liam",M,1997-05-12,,,139,140,852.0,Gold Coast,AUS,-,20.8,Canberra
National Open Winter Swimming Championships,01:00.3,2016-03-04,Men 100 Breaststroke LCM Male,GRE,Greece,"SAMILIDIS, Panagiotis",M,1993-08-09,,,139,141,888.0,Piraeus,GRE,187,22.6,Athens
US Olympic Team Trials - Wave II,01:00.3,2021-06-13,Men 100 Breaststroke LCM Male,USA,United States of America,"BACKES, Zane Volion",M,1998-12-07,,,142,142,840.0,Omaha,USA,-,22.5,"Washington, D.C."
British Championships 2016,01:00.3,2016-04-12,Men 100 Breaststroke LCM Male,GBR,Great Britain,"WILLIS, Andrew",M,1990-12-03,,,143,143,887.0,Glasgow,GBR,188,25.4,London
Japan Selection Trial for 19th FINA World Championships 2022,01:00.3,2022-03-02,Men 100 Breaststroke LCM Male,JPN,Japan,"YAMAO, Hayato",M,2001-08-21,,,144,144,840.0,Tokyo,JPN,-,20.5,Tokyo
Japan Corporate Swimming Championships 2021,01:00.3,2021-11-06,Men 100 Breaststroke LCM Male,JPN,Japan,"MATSUMURA, Yuuki",M,1996-09-16,,,144,145,840.0,Tochigi,JPN,-,25.1,Tokyo
Japan Inter-College Swimming Competition,01:00.3,2021-10-08,Men 100 Breaststroke LCM Male,JPN,Japan,"OSAKI, Ikuma",M,1999-05-21,,,144,146,840.0,Tokyo,JPN,-,22.4,Tokyo
European Junior Swimming Championships 2021,01:00.3,2021-07-08,Men 100 Breaststroke LCM Male,UKR,Ukraine,"LISOVETS, Volodymyr",M,2004-05-30,,,144,147,840.0,Rome,ITA,-,17.1,Kyiv
Olympic Games Tokyo 2020,01:00.3,2021-07-24,Men 100 Breaststroke LCM Male,SUI,Switzerland,"DESPLANCHES, Jeremy",M,1994-08-07,,,148,148,839.0,Tokyo,JPN,-,27.0,Bern
US Olympic Team Trials,01:00.3,2012-06-25,Men 100 Breaststroke LCM Male,USA,United States of America,"CRISTE, John I",M,1989-01-17,,,148,149,917.0,Omaha,USA,-,23.4,"Washington, D.C."
USA Nationals & World Championship Trials,01:00.3,2001-03-28,Men 100 Breaststroke LCM Male,USA,United States of America,"MOSES, Ed",M,1980-06-07,,,148,150,,Austin,USA,-,20.8,"Washington, D.C."
Phillips 66 National Championships (50m) 2022,01:00.3,2022-07-29,Men 100 Breaststroke LCM Male,USA,United States of America,"LOUSER, Jason",M,2001-05-30,,,151,151,839.0,Irvine,USA,-,21.2,"Washington, D.C."
US Olympic Team Trials - Swimming,01:00.3,2016-06-26,Men 100 Breaststroke LCM Male,USA,United States of America,"LICON, Will",M,1994-08-25,,,151,152,886.0,Omaha,USA,-,21.8,"Washington, D.C."
Japan Inter-College Swimming Competition,01:00.3,2019-09-06,Men 100 Breaststroke LCM Male,JPN,Japan,"HARAGUCHI, Takuya",M,1997-12-23,,,153,153,848.0,Tokyo,JPN,-,21.7,Tokyo
French Elite and Junior Championships,01:00.3,2015-03-31,Men 100 Breaststroke LCM Male,FRA,France,"PEREZ-DORTONA, Giacomo",M,1989-11-11,,,153,154,910.0,Limoges,FRA,183,25.4,Paris
US National Championships (50m),01:00.3,2014-08-06,Men 100 Breaststroke LCM Male,USA,United States of America,"MC HUGH, Brendan",M,1990-04-11,,,153,155,910.0,Irvine,USA,-,24.3,"Washington, D.C."
TYR Pro Swim Series Mission Viejo 2021,01:00.3,2021-04-08,Men 100 Breaststroke LCM Male,BUL,Bulgaria,"EPITROPOV, Lyubomir",M,1999-04-27,,,156,156,838.0,Mission Viejo,USA,178,21.9,Sofia
18th FINA World Championships 2019,01:00.3,2019-07-21,Men 100 Breaststroke LCM Male,ISL,Iceland,"MCKEE, Anton",M,1993-12-18,,,156,157,848.0,Gwangju,KOR,184,25.6,Reykjavík
15th FINA World Championships 2013,01:00.3,2013-07-28,Men 100 Breaststroke LCM Male,ITA,Italy,"PESCE, Mattia",M,1989-12-03,,,156,158,910.0,Barcelona,ESP,-,23.7,Rome
US National Championships TT - (50m),01:00.3,2011-08-02,Men 100 Breaststroke LCM Male,USA,United States of America,"SWANDER, Kevin Andrew",M,1984-03-09,,,156,159,915.0,Palo Alto,USA,-,27.4,"Washington, D.C."
19th FINA World Championships Budapest 2022,01:00.3,2022-06-18,Men 100 Breaststroke LCM Male,ISR,Israel,"PITSHUGIN, Kristian",M,2001-07-18,,,160,160,838.0,Budapest,HUN,-,20.9,Jerusalem
National Games - Swimming Competition,01:00.3,2017-09-15,Men 100 Breaststroke LCM Male,JPN,Japan,"FUJIMORI, Hiromasa",M,1991-08-07,,,160,161,849.0,Tokyo,JPN,176,26.1,Tokyo
Russian National Championships (50m),01:00.3,2013-06-16,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"SHCHERBAKOV, Maksim",M,1991-12-24,,,160,162,909.0,Moscow,RUS,-,21.5,Moscow
Campionato Italiano di Categoria,01:00.3,2017-08-01,Men 100 Breaststroke LCM Male,ITA,Italy,"ANTONELLI, Lorenzo",M,1993-02-05,,,163,163,848.0,Rome,ITA,185,24.5,Rome
29th Summer Universiade 2017,01:00.4,2017-08-21,Men 100 Breaststroke LCM Male,SUI,Switzerland,"KASER, Yannick",M,1992-07-03,,,164,164,848.0,Taipei City,TPE,-,25.1,Bern
SM/Para-SM/JSM (50m) 2022,01:00.4,2022-07-01,Men 100 Breaststroke LCM Male,SWE,Sweden,"RAEISAENEN, Daniel",M,1999-01-03,,,165,165,836.0,Linköping,SWE,-,23.5,Stockholm
Korean National Trials 2022,01:00.4,2022-03-24,Men 100 Breaststroke LCM Male,KOR,Republic of Korea,"CHOI, Dongyeol",M,1999-05-01,,,165,166,836.0,Gimcheon,KOR,-,22.9,Seoul
US Olympic Team Trials - Wave II,01:00.4,2021-06-13,Men 100 Breaststroke LCM Male,USA,United States of America,"POUCH, Aj",M,2000-11-15,,,165,167,836.0,Omaha,USA,-,20.6,"Washington, D.C."
Malmsten Swim Open Stockholm,01:00.4,2021-04-09,Men 100 Breaststroke LCM Male,AUT,Austria,"ROTHBAUER, Christopher",M,1998-01-29,,,165,168,836.0,Stockholm,SWE,180,23.2,Vienna
27th Summer Universiade 2013,01:00.4,2013-07-11,Men 100 Breaststroke LCM Male,ITA,Italy,"GIORGETTI, Edoardo",M,1989-02-05,,,165,169,908.0,Kazan,RUS,185,24.4,Rome
13th FINA World Championships 2009,01:00.4,2009-07-26,Men 100 Breaststroke LCM Male,NED,Netherlands,"STEKELENBURG, Lennart",M,1986-10-22,,,165,170,,Rome,ITA,-,22.8,Amsterdam
Phillips 66 National Championships (50m) 2022,01:00.4,2022-07-29,Men 100 Breaststroke LCM Male,SGP,Singapore,"MAHABIR, Nicholas",M,2005-11-26,,,171,171,836.0,Irvine,USA,-,16.7,Singapore
Japan Inter-College Swimming Competition,01:00.4,2021-10-08,Men 100 Breaststroke LCM Male,JPN,Japan,"FUKASAWA, Yamato",M,2000-10-16,,,171,172,836.0,Tokyo,JPN,-,21.0,Tokyo
European Championships 2021,01:00.4,2021-05-17,Men 100 Breaststroke LCM Male,POL,Poland,"KOZAKIEWICZ, Jan",M,1996-02-24,,,173,173,835.0,Budapest,HUN,-,25.2,Warsaw
US National Championships (50m),01:00.4,2017-06-30,Men 100 Breaststroke LCM Male,USA,United States of America,"MONTAGUE, Jacob",M,1998-01-06,,,174,174,846.0,Indianapolis,USA,-,19.5,"Washington, D.C."
British National Championships (50m),01:00.4,2017-04-18,Men 100 Breaststroke LCM Male,GBR,Great Britain,"ATTWOOD, Charlie",M,1997-08-16,,,174,175,846.0,Sheffield,GBR,192,19.7,London
SA National and Youth Open Championships,01:00.4,2011-04-11,Men 100 Breaststroke LCM Male,RSA,South Africa,"VERSFELD, Neil",M,1985-03-29,,,174,176,912.0,Port Elizabeth,RSA,-,26.0,Cape Town
Chinese National Summer Championships (50m),01:00.4,2021-05-31,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"YU, Zongda",M,2002-12-09,,,177,177,835.0,Xian,CHN,-,18.5,Beijing
FINA/airweave Swimming World Cup 2015,01:00.4,2015-08-12,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"FALKO, Grigory",M,1987-05-09,,,177,178,906.0,Moscow,RUS,-,28.3,Moscow
US Olympic Team Trials - Wave II,01:00.4,2021-06-13,Men 100 Breaststroke LCM Male,CLB,Club,"COPE, Tommy",M,1997-11-01,,,179,179,834.0,Omaha,USA,-,23.6,-
European Championships 2016,01:00.4,2016-05-16,Men 100 Breaststroke LCM Male,ITA,Italy,"TONIATO, Andrea",M,1991-02-27,,,179,180,881.0,London,GBR,185,25.2,Rome
European Championships 2021,01:00.4,2021-05-17,Men 100 Breaststroke LCM Male,SVK,Slovakia,"KLOBUCNIK, Tomas",M,1990-06-21,,,181,181,833.0,Budapest,HUN,-,30.9,Bratislava
92nd Inter College Swimming Championships,01:00.4,2016-09-02,Men 100 Breaststroke LCM Male,JPN,Japan,"WATANABE, Kazuki",M,1994-05-26,,,182,182,880.0,Tokyo,JPN,-,22.3,Tokyo
16th Mediterranean Games 2009,01:00.4,2009-06-27,Men 100 Breaststroke LCM Male,ESP,Spain,"ALVAREZ, Melquiades",M,1988-08-10,,,183,183,,Pescara,ITA,-,20.9,Madrid
Japan Inter-College Swimming Competition,01:00.5,2021-10-08,Men 100 Breaststroke LCM Male,JPN,Japan,"MAJIMA, Ryotarou",M,2001-03-19,,,184,184,832.0,Tokyo,JPN,-,20.6,Tokyo
FINA Swimming World Cup 2019,01:00.5,2019-10-11,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"ZHANG, Ruixuan",M,1999-03-11,,,184,185,842.0,Berlin,GER,-,20.6,Beijing
Olympic Games Sydney 2000,01:00.5,2000-09-17,Men 100 Breaststroke LCM Male,ITA,Italy,"FIORAVANTI, Domenico",M,1977-05-31,,,184,186,,Sydney,AUS,-,23.3,Rome
Budapest Open,01:00.5,2019-06-26,Men 100 Breaststroke LCM Male,EST,Estonia,"ALLIKVEE, Martin",M,1995-03-21,,,187,187,841.0,Budapest,HUN,182,24.3,Tallinn
11th Pan Pacific Championships 2010,01:00.5,2010-08-19,Men 100 Breaststroke LCM Male,BRA,Brazil,"CERDEIRA, Tales",M,1987-01-21,,,187,188,909.0,Irvine,USA,-,23.6,Brasília
Brazilian National Championships (50m),01:00.5,2009-05-10,Men 100 Breaststroke LCM Male,BRA,Brazil,"FISCHER, Eduardo",M,1980-03-25,,,187,189,,Rio de Janeiro,BRA,180,29.1,Brasília
The National Games,01:00.5,2021-09-20,Men 100 Breaststroke LCM Male,CHN,People's Republic of China,"SHEN, Hao",M,1998-09-18,,,190,190,831.0,Xian,CHN,186,23.0,Beijing
37th Invitaciones Internacional Naco 2019,01:00.5,2019-11-30,Men 100 Breaststroke LCM Male,VEN,Venezuela,"CLAVERIE, Carlos",M,1996-09-19,,,190,191,841.0,Santo Domingo,DOM,-,23.2,Caracas
Maria Lenk Trophy - Test Event,01:00.5,2016-04-15,Men 100 Breaststroke LCM Male,BRA,Brazil,"RODRIGUES, Raphael",M,1991-03-29,,,190,192,878.0,Rio de Janeiro,BRA,185,25.0,Brasília
Russian National Championships (50m),01:00.5,2015-04-22,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"LOBANOV, Anton",M,1992-09-01,,,190,193,903.0,Moscow,RUS,-,22.6,Moscow
European Championships 2022,01:00.5,2022-08-11,Men 100 Breaststroke LCM Male,POL,Poland,"WIEKIERA, Dawid",M,2002-11-04,,,194,194,831.0,Rome,ITA,-,19.8,Warsaw
National French Championships (50m),01:00.5,2021-06-15,Men 100 Breaststroke LCM Male,FRA,France,"VIQUERAT, Antoine",M,1998-10-05,,,194,195,831.0,Chartres,FRA,-,22.7,Paris
58th International Trophy “Settecolli”,01:00.5,2021-06-25,Men 100 Breaststroke LCM Male,ITA,Italy,"CASTELLO, Andrea",M,1998-08-29,,,196,196,831.0,Rome,ITA,-,22.8,Rome
Russian National Championships (50m),01:00.5,2017-04-13,Men 100 Breaststroke LCM Male,RUS,Russian Federation,"GADIROV, Rustam",M,1997-12-10,,,196,197,842.0,Moscow,RUS,-,19.3,Moscow
European Championships 2022,01:00.5,2022-08-11,Men 100 Breaststroke LCM Male,ITA,Italy,"CERASUOLO, Simone",M,2003-06-22,,,198,198,830.0,Rome,ITA,-,19.1,Rome
Australian National Championships (50m),01:00.5,2016-04-07,Men 100 Breaststroke LCM Male,AUS,Australia,"PALMER, Josh",M,1991-08-10,,,198,199,877.0,Adelaide,AUS,-,24.7,Canberra
28th Summer Universiade 2015,01:00.5,2015-07-05,Men 100 Breaststroke LCM Male,USA,United States of America,"MACDONALD, Daniel J",M,1994-04-16,,,198,200,901.0,Gwangju,KOR,-,21.2,"Washington, D.C."
